epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93475,2.1478,4.51703,1.84545,0,0,0,0,1.72396,4.13319,1.57507,3.13e-06,3.13e-06,3.13e-06
2,3.24052,2.38716,4.41611,1.92962,0,0,0,0,1.79916,4.11493,1.58132,7.53078e-06,7.53078e-06,7.53078e-06
3,4.6082,2.13469,4.52847,1.82191,0,0,0,0,1.68692,4.13625,1.55658,9.4526e-06,9.4526e-06,9.4526e-06
4,5.67189,2.20979,4.53282,1.84949,0,0,0,0,1.67096,4.1256,1.55617,8.89546e-06,8.89546e-06,8.89546e-06
5,6.77281,2.31833,4.58341,1.97064,0,0,0,0,1.71914,4.10586,1.55531,5.85936e-06,5.85936e-06,5.85936e-06
